CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
1,louisa may alcott,piccole donne,mondadori,bambini e ragazzi,italiano,2012,;
2,italo calvino,marcovaldo,mondadori,bambini e ragazzi,italiano,2012,;
3,alistair maclean,notte senza fine,mondadori,romanzo,italiano,1963,;
4,gerald reitlinger,storia delle ss (primo volume),longanesi,saggio storico,italiano,1969,;
5,quarantotti gambini,l'onda dell'incrociatore,mondadori,romanzo,italiano,1966,;
6,goffredo parise,il prete bello,garzanti,romanzo,italiano,1954,;
7,paolo villaggio,fantozzi,rizzoli,umoristico e fumetti,italiano,1984,;
8,marco forti,per conoscere montale,mondadori,antologia/critica letteraria,italiano,1986,;
9,gilbert cesbron,cani perduti senza collare,mondadori,romanzo,italiano,1966,;
10,pearl s. buck,tutti sotto il cielo,rizzoli,romanzo,italiano,1979,;
11,guido crainz,l'ombra della guerra,donzelli,saggio storico,italiano,2007,;
12,fromentin ,le ragioni del cuore,frassinelli,romanzo,italiano,2000,;
13,paolo crepet,inchiesta sul cristianesimo,mondadori,saggio,italiano,2003,;
14,autori vari,catechismo della chiesa cattolica,san paolo,filosofia e religioni,italiano,2005,;
15,paolo crepet,non siamo capaci di ascoltarli,einaudi,scienze sociali,italiano,2001,;
16,alda merini,francesco canto di una creatura,frassinelli,poesie/aforismi/albi illustrati,italiano,2007,;
17,paolo crepet,i volti dell'amore - la gelosia,mondadori,filosofia e religioni,italiano,2005,;
18,margaret mazzantini,il catino di zinco,marsilio editori,romanzo,italiano,2003,;
19,a. b. casares,un viaggio inatteso,studio tesi,romanzo,italiano,1993,;
20,antonio caprarica,dio ci salvi dagli inglesi…o no?,sperling,biografia/letteratura d'inchiesta,italiano,2007,;
21,oronzino invitto,rotepacce,milella,poesie/aforismi/albi illustrati,italiano,2012,;
22,margaret mazzantini,zorro un eremita sul marciapiede,mondadori,romanzo,italiano,2004;
23,eileen goudge,il giardino delle menzogne,rcs,romanzo,italiano,1989,;
24,rosellen brown,prima e dopo,baldini e castoldi,romanzo,italiano,1993,;
25,julie garwood,resto con te,euroclub,romanzo,italiano,1998,;
26,rosamunde pilcher,solstizio d'inverno,mondadori,romanzo,italiano,2000,;
27,sergio zavoli,se dio c'e',mondadori,filosofia e religioni,italiano,2001,;
28,paulo coelho,lo zahir,bompiani,romanzo,italiano,2005,;
29,antonio pennacchi,canale mussolini,mondadori,romanzo,italiano,2010,;
30,margaret atwood,la donna che rubava i mariti,euroclub,giallo/thriller,italiano,1999,;
31,linda howard,dopo quella notte,mondolibri,romanzo,italiano,1999,;
32,georgia bockoven,matrimonio di convenienza,euroclub,romanzo,italiano,1992,;
33,patricia macdonald,ammiratore segreto,euroclub,giallo/thriller,italiano,1997,;
34,judith mcnaugth,occhi verdi,euroclub,romanzo,italiano,1992,;
35,susanna tamaro,va dove ti porta il cuore,baldini e castoldi,romanzo,italiano,1994,;
36,dacia maraini,dolce per se',euroclub,romanzo,italiano,1997,;
37,beatrice small,tiranno e' l'amore,euroclub,romanzo,italiano,1987,;
38,roxanne pulitzer,segreto di famiglia,euroclub,romanzo,italiano,1992,;
39,daria bignardi,non vi lascero' orfani,mondadori,romanzo,italiano,2009,;
40,elizabeth george,dicembre e' un mese crudele,euroclub,giallo/thriller,italiano,1996,;
41,kathy reichs,skeleton,rizzoli,giallo/thriller,italiano,2007,;
42,neale donald walsch,conversazioni con dio,sperling,filosofia e religioni,italiano,1998,;
43,patrick suskind,il profumo,tea,romanzo,italiano,2008,;
44,niccolo' ammaniti,il momento e' delicato,einaudi,romanzo,italiano,2012,;
45,leonardo mondadori vittorio messori,conversione una storia personale,mondadori,filosofia e religioni,italiano,2002,;
46,delly,mitzi,euroclub,romanzo,italiano,1983,;
47,billie letts,la via del cuore,euroclub,romanzo,italiano,1977,;
48,patrizia rinaldi,mare giallo,sinnos editori,bambini e ragazzi,italiano,2012,;
49,ruggero eugeni,invito al cinema di kubrik,mursia,biografia,italiano,1995,;
50,peter may,il maestro dei cadaveri,piemme,giallo/thriller,italiano,2005,;
51,alex haley,radici,rizzoli,romanzo,italiano,1992,;
52,giobbe covatta,sesso ? fai da te !,salani,umoristico e fumetti,italiano,1998,;
53,giobbe covatta,pancreas,mondadori,umoristico e fumetti,italiano,1996,;
54,candace robb,il borgo insanguinato,piemme,romanzo,italiano,2004,;
55,adriano sofri,chi e' il mio prossimo,sellerio editore,romanzo,italiano,2007,;
56,chuck hogan,il principe dei ladri,piemme,giallo/thriller,italiano,2005,;
57,enrico brignano,sono romano ma non e' colpa mia,mondolibri,umoristico e fumetti,italiano,2009,;
58,giles blunt,quaranta modi per dire dolore,saggiatore,giallo/thriller,italiano,2004,;
59,marjorie hart,i love tiffany,newton compton,romanzo,italiano,2012,;
60,gad lerner,scintille,feltrinelli,romanzo,italiano,2009,;
61,collen mccullough,l'indipendenza della signorina bennet,mondolibri,romanzo,italiano,2008,;
62,elin hilderbrand,a piedi nudi,mondadori,romanzo,italiano,2008,;
63,andrea vitali,dopo lunga e penosa malattia,mondolibri,romanzo,italiano,2008,;
64,sofia schito,la b capovolta,lupo editore,romanzo,italiano,2012,;
65,antonio verri,vico e herder,longo editore,filosofia e religioni,italiano,1984,;
66,maria venturi,la vita senza me,rizzoli,romanzo,italiano,2010,;
67,erica jong,paracadute e baci,euroclub,romanzo,italiano,1985,;
68,giovanni arpino,la trappola amorosa,euroclub,romanzo,italiano,1988,;
69,richard bach,uno,rizzoli,romanzo,italiano,1988,;
70,robert ludlum,l'agenda di icaro,rizzoli,romanzo,italiano,1988,;
71,janette seymour,la passione di purity,sonzogno,romanzo,italiano,1979,;
72,george simenon,le vacanze di maigret,mondadori,giallo/thriller,italiano,1973,;
73,hardwick,vita privata di sherlock holmes,sonzogno,giallo/thriller,italiano,1974,;
74,roberto benigni,johnny stecchino,theoria,umoristico e fumetti,italiano,1991,;
75,sidney sheldon,giorno e notte,sperling,romanzo,italiano,1995,;
76,pasquale f. campanile,il peccato,euroclub,classico,italiano,1986,;
77,t. verny,vita segreta prima della nascita,euroclub,saggio,italiano,1982,;
78,luce d'eramo,nucleo zero,euroclub,romanzo,italiano,1982,;
79,giorgio montefoschi,la casa del padre,bompiani,romanzo,italiano,1994,;
80,giuliana boldrini,storie di ragazzi come noi,mondadori,bambini e ragazzi,italiano,1990,;
81,gary devon,io ti voglio,euroclub,romanzo,italiano,1991,;
82,catherine coulter,un castello in scozia,euroclub,romanzo,italiano,1995,;
83,michela murgia,ave mary,einaudi,saggi e inchieste,italiano,2011,;
84,michael jecks,torneo di sangue,hobby and work,giallo/thriller,italiano,2003,;
85,julie garwood,la dote di sara,euroclub,romanzo,italiano,1993,;
86,giovanni falcone,cose di casa nostra,rizzoli,saggi e inchieste,italiano,1991,;
87,corrado augias,i segreti di londra,mondadori,saggio storico,italiano,2003,;
